11323 1 2
0.200 0.00 0.39 
0.137 0.00 0.27 
0.303 0.00 0.23 
0.069 0.00 0.19 
0.054 0.00 0.15 
0.182 0.00 0.37 
0.254 0.00 0.34 
0.362 0.00 0.21 
0.327 0.00 0.23 
0.070 0.00 0.15 
0.190 0.00 0.34 
0.031 0.00 0.21 
0.157 0.00 0.33 
0.340 0.00 0.17 
0.078 0.00 0.24 
0.178 0.00 0.35 
0.151 0.00 0.29 
0.113 0.00 0.28 
0.270 0.00 0.27 
0.277 0.00 0.24 
0.024 0.00 0.16 
0.046 0.00 0.16 
0.099 0.00 0.23 
0.213 0.00 0.37 
0.041 0.00 0.17 
0.208 0.00 0.39 
0.054 0.00 0.20 
0.026 0.00 0.14 
0.294 0.00 0.27 
0.351 0.00 0.16 
0.013 0.00 0.15 
0.017 0.00 0.17 
0.216 0.00 0.38 
0.151 0.00 0.34 
0.230 0.00 0.33 
0.196 0.00 0.36 
0.079 0.00 0.24 
0.212 0.00 0.38 
0.121 0.00 0.26 
0.254 0.00 0.35 
0.244 0.00 0.35 
0.137 0.00 0.33 
0.048 0.00 0.17 
0.149 0.00 0.31 
0.015 0.00 0.10 
0.345 0.00 0.20 
0.133 0.00 0.32 
0.086 0.00 0.22 
0.227 0.00 0.37 
0.174 0.00 0.38 
0.357 0.03 0.20 
0.205 0.00 0.36 
0.301 0.00 0.29 
0.093 0.00 0.18 
0.293 0.00 0.28 
0.132 0.00 0.30 
0.161 0.00 0.29 
0.249 0.00 0.35 
0.258 0.00 0.34 
0.063 0.00 0.17 
0.076 0.00 0.26 
0.226 0.00 0.36 
0.184 0.00 0.33 
0.207 0.00 0.35 
0.026 0.00 0.11 
0.350 0.00 0.17 
0.192 0.00 0.36 
0.243 0.00 0.35 
0.103 0.00 0.25 
0.339 0.00 0.15 
0.101 0.00 0.33 
0.060 0.00 0.23 
0.263 0.00 0.34 
0.059 0.03 0.16 
0.068 0.00 0.17 
0.075 0.00 0.20 
0.102 0.00 0.20 
0.333 0.00 0.21 
0.331 0.00 0.22 
0.010 0.00 0.15 
