11323 1 2
1.13 0.00 0.26 
1.77 0.00 0.36 
2.53 0.00 0.34 
0.36 0.00 0.13 
3.56 0.03 0.15 
1.93 0.00 0.40 
1.41 0.00 0.36 
1.03 0.00 0.23 
3.30 0.05 0.23 
2.73 0.00 0.36 
0.32 0.00 0.19 
1.15 0.00 0.23 
1.57 0.00 0.29 
2.87 0.00 0.22 
2.86 0.00 0.26 
3.57 0.00 0.21 
1.85 0.00 0.37 
3.34 0.00 0.16 
0.36 0.00 0.19 
1.35 0.00 0.34 
3.59 0.00 0.12 
2.36 0.00 0.38 
3.65 0.00 0.12 
2.75 0.00 0.25 
2.29 0.00 0.40 
2.24 0.00 0.35 
2.33 0.00 0.33 
2.60 0.00 0.33 
2.00 0.00 0.38 
1.41 0.00 0.26 
1.08 0.00 0.25 
3.31 0.00 0.20 
1.88 0.00 0.36 
1.62 0.00 0.33 
3.02 0.00 0.31 
2.54 0.00 0.35 
2.54 0.00 0.35 
1.96 0.00 0.39 
0.12 0.00 0.15 
1.05 0.00 0.22 
0.73 0.00 0.20 
0.07 0.00 0.15 
2.48 0.00 0.33 
0.77 0.00 0.12 
1.55 0.00 0.33 
1.75 0.00 0.37 
2.36 0.00 0.37 
2.16 0.00 0.38 
2.56 0.00 0.32 
0.26 0.05 0.16 
3.29 0.01 0.22 
0.17 0.00 0.12 
2.78 0.00 0.28 
3.47 0.10 0.11 
1.25 0.00 0.29 
1.51 0.00 0.28 
0.18 0.00 0.11 
0.22 0.00 0.19 
0.98 0.00 0.22 
2.33 0.00 0.36 
2.99 0.00 0.23 
2.42 0.00 0.37 
0.90 0.00 0.21 
2.67 0.00 0.30 
0.26 0.00 0.10 
0.52 0.00 0.18 
1.84 0.00 0.35 
3.30 0.00 0.18 
1.58 0.00 0.38 
0.98 0.00 0.29 
1.37 0.00 0.26 
0.04 0.00 0.19 
1.57 0.00 0.34 
2.73 0.00 0.30 
1.04 0.00 0.20 
1.40 0.00 0.24 
1.86 0.00 0.39 
2.22 0.00 0.37 
2.92 0.00 0.35 
3.39 0.00 0.18 
1.91 0.00 0.41 
0.78 0.00 0.22 
2.86 0.00 0.29 
2.76 0.00 0.24 
3.03 0.00 0.23 
2.80 0.00 0.35 
0.64 0.00 0.20 
1.80 0.00 0.37 
1.34 0.00 0.23 
3.35 0.00 0.14 
2.91 0.00 0.24 
2.15 0.00 0.36 
2.34 0.00 0.36 
0.95 0.00 0.20 
1.90 0.00 0.34 
2.21 0.00 0.39 
0.56 0.00 0.18 
2.51 0.00 0.34 
1.84 0.00 0.33 
1.70 0.00 0.29 
2.19 0.00 0.38 
1.32 0.00 0.29 
0.50 0.00 0.19 
0.07 0.00 0.18 
2.50 0.00 0.35 
3.00 0.00 0.27 
1.51 0.00 0.35 
2.26 0.00 0.36 
2.39 0.00 0.38 
1.36 0.00 0.27 
